FIPS,Confirmed
23015,2034
80023,0
23017,3094
23019,8467
23021,832
23023,1783
23025,2600
90023,163
23027,2156
23029,1163
23031,14305
24001,5020
24003,20671
24005,30645
24510,25961
24009,3288
24011,1601
24013,5440
24015,4291
24017,7876
24019,2293
24021,12940
24023,1257
24025,10315
24027,12259
24029,744
24031,56909
24033,37896
24035,1679
24039,1350
24037,5779
24041,1637
90024,0
24043,8379
24045,5774
24047,2552
25001,9693
25003,9147
25005,41367
25009,52408
25011,4644
25013,43236
25015,10745
25017,103468
25021,41861
25023,33271
25025,66575
90025,51845
25027,60385
26001,292
26003,592
26005,6543
26007,973
26009,1103
26011,815
26013,519
26015,3423
26017,7653
26019,980
26021,8881
26023,2646
26025,8867
26027,1983
26029,1445
26031,871
26033,3201
26035,1552
26037,6605
26039,592
26041,2715
26043,2224
26045,8013
26047,1753
26049,27905
26051,1392
26053,903
26055,4681
26057,2609
26059,2027
26061,2026
26063,1666
26065,20879
26067,4141
26069,956
26071,752
26073,4016
26075,10163
26077,18084
26079,954
26081,41952
26083,113
26085,418
26087,4528
26089,1014
26091,6494
26093,12222
26095,369
26097,654
26099,59098
26101,1116
26103,5557
26105,1847
26107,2173
26109,1323
26111,5350
26113,637
26115,10312
26117,3283
26119,351
26121,9691
26123,2537
26125,82777
26127,1310
26129,962
26131,218
26133,1052
26135,251
26137,1241
26139,18484
80026,1711
26141,318
26143,918
26145,12887
26151,1794
26153,539
26155,4895
26147,9359
26149,2691
26157,3167
90026,-37
26159,4108
26161,26816
26163,115008
26165,1914
27001,482
27003,25746
27005,2011
27007,2487
27009,3713
27011,349
27013,4712
27015,1431
27017,2638
27019,7429
27021,1370
27023,677
27025,3348
27027,6294
27029,416
27031,184
27033,686
27035,3513
27037,31486
27039,1586
27041,2219
27043,868
27045,1187
27047,2538
27049,3550
27051,319
27053,90091
27055,1249
27057,1040
27059,2151
27061,2341
27063,400
27065,630
27067,2688
27069,166
27071,664
27073,381
27075,529
27077,185
27079,1300
27081,252
27083,1379
27087,531
27089,376
27091,1269
27085,2477
27093,1047
27095,1291
27097,1790
27099,3761
27101,389
27103,2110
27105,1413
27107,374
27109,14571
27111,2748
27113,807
27115,1252
27117,351
27119,2138
27121,640
27123,37627
27125,195
27127,804
27129,729
27131,4867
27133,446
27135,954
27139,10475
27141,6048
27143,640
27137,12891
27145,12794
27147,2669
27149,704
27151,439
27153,1342
27155,192
90027,5592
27157,1339
27159,866
27161,1124
27163,19800
27165,746
27167,327
27169,3892
27171,7377
27173,465
28001,2149
28003,3533
28005,1007
28007,1686
28009,626
28011,2465
28013,1613
28015,692
28017,2084
28019,784
28021,756
28023,1133
28025,1587
28027,1839
28029,2172
28031,2454
28033,13995
28035,7422
28037,606
28039,1929
28041,887
28043,1508
28045,4022
28047,17165
28049,15577
28051,1547
28053,618
28055,65
28057,2199
28059,11100
28061,1305
28063,476
28065,945
28067,6548
28069,655
28071,5571
28073,6067
28075,5900
28077,1189
28079,2041
28081,8637
28083,2005
28085,2457
28087,5644
28089,7618
28091,2375
28093,2723
28095,3418
28097,999
28099,3521
28101,1902
28103,776
28105,3582
28107,3215
28109,4861
28111,828
28113,3278
28115,2754
28117,2703
28119,408
28121,12011
28123,1492
28125,284
28127,2035
28129,1291
28131,1619
28133,1210
28135,763
28137,2250
28139,1967
28141,1973
28143,713
90028,0
28145,2631
28147,1272
28149,2999
28151,2457
28153,1448
28155,1213
28157,618
28159,1903
28161,1376
28163,3057
29001,1307
29003,1176
29005,399
29007,1215
29009,1631
29011,773
29013,953
29015,1065
29017,475
29019,14454
29021,5968
29023,2500
29025,311
29027,3245
29029,2155
29031,4503
29033,506
29035,303
29037,7052
29039,792
29041,394
29043,5782
29045,296
29047,8019
29049,1092
29051,5231
29053,873
29055,1216
29057,410
29059,1070
29061,362
29063,394
29065,877
29067,577
29069,2155
29071,5163
29073,754
29075,428
29077,20463
29079,494
29081,312
29083,1652
29085,455
29087,232
29089,492
29091,2227
29093,540
29095,28435
29097,9453
29099,14236
29101,3333
29103,220
29105,2006
29107,1891
29109,1869
29111,687
29113,3677
29115,463
29117,846
29121,927
29123,893
29125,407
29127,1756
29119,1223
29129,151
29131,1496
29133,722
29135,810
29137,503
29139,655
29141,895
29143,1454
29145,3007
29147,1831
29149,447
29151,725
29153,331
29155,745
29157,1160
29159,3319
29161,2471
29163,1011
29165,2921
29167,2126
29169,2881
29171,199
29173,547
29175,1677
29177,1335
29179,290
29181,508
29195,1541
29197,168
29199,168
29201,2984
29203,387
29205,365
29183,26607
29185,648
29187,5040
29189,63406
29510,16644
29186,878
29207,1249
29209,1308
29211,354
29213,3161
29215,1085
90029,0
29217,1432
29219,2025
29221,1410
29223,521
29225,2416
29227,80
29229,898
30001,495
30003,1322
30005,544
30007,228
30009,396
30011,29
30013,7247
30015,173
30017,586
30019,70
30021,425
30023,758
30025,113
30027,560
30029,6165
30031,10293
30033,55
30035,1299
30037,28
30039,119
30041,1002
30043,571
30045,54
30047,1693
30049,4688
30051,121
30053,991
30057,353
30055,69
30059,125
30061,311
30063,8597
30065,142
30067,1236
30069,8
30071,157
30073,300
30075,41
30077,381
30079,66
30081,1328
30083,502
30085,856
30087,741
30089,483
30091,118
30093,1968
30095,221
30097,153
30099,322
30101,218
30103,20
90030,0
30105,260
30107,101
30109,25
30111,9728
31001,1547
31003,212
31005,3
31007,18
31009,13
31011,238
31013,587
31015,97
31017,91
31019,2861
31021,357
31023,507
31025,1783
31027,362
31029,87
31031,80
31033,480
31035,350
31037,650
31039,354
31041,376
31043,1761
31045,202
31047,940
31049,67
31051,280
31053,2660
31055,45067
31057,71
31059,313
31061,60
31063,94
31065,285
31067,718
31069,99
31071,86
31073,73
31075,17
31077,89
31079,4989
31081,655
31083,35
31085,12
31087,94
31089,520
31091,15
31093,313
31095,206
31097,98
31099,214
31101,358
31103,17
31105,145
31107,356
31109,26491
31111,2175
31113,28
31115,16
31119,2582
31117,17
31121,410
31123,286
31125,178
31127,337
31129,225
31131,841
31133,86
31135,108
31137,553
31139,279
31141,2171
31143,323
31145,381
31147,511
31149,10
31151,992
31153,15209
31155,1189
31157,2671
31159,753
31161,132
31163,123
31165,5
31167,177
31169,289
31171,10
31173,581
90031,2205
31175,155
31177,1164
31179,300
31181,140
31183,33
31185,1173
32510,4751
32001,2011
32003,144970
32005,2649
32007,3334
32009,27
32011,117
32013,1863
32015,386
32017,278
32019,3323
32021,311
32023,1854
32027,192
32029,109
90032,0
32031,32352
32033,598
33001,3956
33003,2780
33005,4882
33007,2054
33009,7337
33011,30439
33013,10673
33015,21182
33017,8989
33019,2821
90033,4582
34001,18410
34003,57361
34005,28299
34007,36512
34009,4719
34011,12413
34013,52727
34015,18765
34017,44297
34019,7410
34021,22141
34023,49635
34025,38465
34027,34529
34029,37583
34031,35346
34033,3734
34035,17836
34037,8864
90034,267
34039,35229
34041,6329
35001,46007
35003,114
35005,5830
35006,2366
35007,646
35009,3466
35011,166
35013,21386
35015,4324
35017,2144
35019,380
35021,17
35023,364
35025,4208
35027,1422
35028,1608
35029,1747
35031,7893
35033,272
35035,4043
35037,392
35039,3297
35041,1442
35045,11738
35047,2229
35043,11715
35049,10734
35051,517
35053,1202
35055,1950
35057,754
90035,1185
35059,239
35061,5594
36001,16789
36003,1816
36005,122761
36007,10813
36009,3657
36011,4199
36013,5635
36015,5850
36017,2417
36019,6376
36021,2917
36023,3030
36025,2050
36027,17556
36029,56813
36031,1758
36033,2614
36035,3198
36037,3349
36039,2275
36041,217
36043,3412
36045,6340
36047,203367
36049,1316
36051,2959
36053,3607
36055,35575
36057,3267
36059,103628
36061,129273
36063,12803
36065,12957
36067,36041
36069,5339
36071,32400
36073,2055
36075,7770
36077,3008
80036,0
36079,6562
36081,199742
36083,9679
36085,43010
36087,24601
36091,14120
36093,9727
36095,1467
36097,961
36099,1787
36089,5278
36101,4838
36103,102340
36105,5907
36107,2828
36109,5851
36111,8486
90036,200
36113,4145
36115,3515
36117,4539
36119,63869
36121,1965
36123,901
37001,16084
37003,3088
37005,844
37007,2225
37009,2185
37011,1246
37013,4117
37015,1528
37017,3333
37019,10878
37021,17616
37023,7545
37025,17368
37027,6971
37029,375
37031,4666
37033,1631
37035,15651
37037,4694
37039,2088
37041,1584
37043,843
37045,9287
37047,5053
37049,8264
37051,29591
37053,1535
37055,2619
37057,13505
37059,3467
37061,5888
37063,29643
37065,4672
37067,31993
37069,8713
37071,19470
37073,608
37075,787
37077,5051
37079,2086
37081,37876
37083,5299
37085,11588
37087,4237
37089,7005
37091,1634
37093,6334
37095,410
37097,14595
37099,2863
37101,21449
37103,753
37105,5535
37107,5319
37109,6960
37113,1912
37115,1812
37117,2125
37111,4035
37119,95562
37121,879
37123,2320
37125,8823
37127,10068
37129,17568
37131,1526
37133,18757
37135,11747
37137,753
37139,2279
37141,5363
37143,878
37145,3204
37147,19694
37149,1235
37151,10594
37153,4622
37155,13156
37157,7388
37159,11845
37161,5022
37163,6188
37165,3654
37167,6232
37169,3490
37171,6249
37173,1116
37175,1592
37177,349
90037,-19815
37179,19655
37181,3944
37183,132739
37185,1550
37187,1230
37189,4585
37191,9025
37193,5453
37195,7114
37197,3362
37199,1322
38001,118
38003,717
38005,473
38007,21
38009,390
38011,145
38013,69
38015,8933
38017,18549
38019,217
38021,288
38023,117
38025,156
38027,149
38029,110
38031,244
38033,83
38035,6784
38037,61
38039,107
38041,254
38043,93
38045,199
38047,76
38049,224
38051,120
38053,544
38055,497
38057,548
38059,2524
38061,922
38063,136
38065,68
38067,438
38069,203
38071,962
38073,389
38075,92
38077,1011
38079,2223
38081,223
38083,53
38085,333
38087,7
38089,2455
38091,78
38093,1810
38095,150
38097,507
90038,0
38099,712
38101,5317
38103,183
38105,2264
69,6263
39001,1883
39003,6350
39005,2648
39007,4042
39009,5222
39011,2801
39013,4042
39015,3061
39017,26046
39019,986
39021,2081
39023,9599
39025,15212
39027,2918
39029,5158
39031,1773
39033,2633
39035,38775
39037,2962
39039,2103
39041,12488
39043,4312
39045,10167
39047,2141
39049,77572
39051,2231
39053,2204
39055,2494
39057,10271
39059,2563
39061,53946
39063,4116
39065,1583
39067,754
39069,1592
39071,2945
39073,1803
39075,739
39077,3048
39079,2450
39081,3745
39083,3146
39085,7444
39087,5885
39089,10337
39091,2332
39093,12420
39095,26780
39097,2407
39099,11511
39101,4777
39103,7773
39105,1242
39107,2169
39109,6219
39111,818
39113,36177
39115,834
39117,1796
39119,6669
39121,759
39123,1809
39125,988
39127,1943
39129,3973
39131,2296
39133,6692
39135,2329
39137,1688
39139,7053
39141,5917
39143,3204
39145,6495
39147,2715
39149,2744
39151,16168
39153,20788
39155,9134
39157,4115
90039,0
39159,4611
39161,1569
39163,810
39165,16509
39167,2961
39169,4946
39171,1835
39173,8397
39175,1202
40001,2617
40003,275
40005,959
40007,274
40009,1565
40011,695
40013,4048
40015,2519
40017,13078
40019,3906
40021,4949
40023,1167
40025,142
40027,30992
40029,532
40031,9115
40033,366
40035,1311
40037,5821
40039,1987
40041,3014
40043,286
40045,205
40047,3986
40049,1798
40051,4496
40053,280
40055,431
40057,110
40059,149
40061,826
40063,696
40065,2099
40067,300
40069,937
40071,3534
40073,1252
40075,695
40077,634
40079,3514
40081,2438
40083,3898
40085,917
40093,962
40095,1548
40097,2877
40087,3362
40089,2023
40091,1802
40099,1300
40101,5520
40103,969
40105,803
40107,995
40109,62117
40111,3002
40113,3243
40115,2358
80040,0
40117,1165
40119,5230
40121,3418
40123,4362
40125,6900
40127,728
40129,175
40131,7760
40133,1852
40135,3362
40137,2371
40139,1437
40141,421
40143,50321
90040,-6065
40145,7677
40147,3512
40149,852
40151,551
40153,934
41001,876
41003,8010
41005,23625
41007,1685
41009,2663
41011,4053
41013,2317
41015,1262
41017,19139
41019,5126
41021,80
41023,384
41025,322
41027,1160
41029,15348
41031,2699
41033,5013
41035,4531
41037,291
41039,23905
41041,2989
41043,9980
41045,2121
41047,26081
41049,889
41051,44883
41053,6220
41055,110
41057,1210
41059,6526
90041,0
41061,1461
41063,445
41065,1715
41067,38411
41069,104
41071,7032
42001,6116
42003,80936
42005,3143
42007,9867
42009,2087
42011,24245
42013,6263
42015,3932
42017,29004
42019,10833
42021,8667
42023,162
42025,3779
42027,8220
42029,22812
42031,1606
42033,4485
42035,2127
42037,3816
42039,4332
42041,13258
42043,14297
42045,27818
42047,1695
42049,14384
42051,7484
42053,371
42055,10222
42057,929
42059,1929
42061,2883
42063,4591
42065,1956
42067,910
42069,12775
42071,27742
42073,4048
42075,8756
42077,24136
42079,18789
42081,6371
42083,1724
42085,4861
42087,2888
42089,10233
42091,37805
42093,1154
42095,19252
42097,5449
42099,1895
42101,75632
42103,2657
42105,532
42107,7778
42109,1718
42111,4445
42113,239
42115,1781
42117,1607
90042,0
42119,2537
42121,2189
42123,1604
42125,14434
42127,2318
42129,19184
42131,1184
42133,30936
72001,1163
72003,2623
72005,2969
72007,1663
72009,1745
72011,1486
72013,5795
72015,982
72017,1452
72019,1874
72021,11157
72023,1989
72025,7719
72027,2175
72029,2100
72031,8809
72033,1494
72035,2486
72037,519
72039,1050
72041,2485
72043,2181
72045,1326
72047,2514
72049,40
72051,2089
72053,1623
72054,1128
72055,743
72057,2342
72059,1052
72061,4920
72063,2797
72065,2468
72067,745
72069,3098
72071,3076
72073,1221
72075,2910
72077,2026
72079,1256
72081,1704
72083,576
72085,1952
72087,963
72089,847
72091,2444
72093,290
72095,605
72097,3734
72099,2519
72101,1833
72103,1372
72105,1603
72107,1153
72888,0
72109,1064
72111,1081
72113,8622
72115,1749
72117,899
72119,2602
72121,1087
72123,1520
72125,1700
72127,17495
72129,2018
72131,2456
72133,1177
72135,3783
72137,4254
72139,3230
72999,8023
72141,1569
72143,2284
72145,4050
72147,345
72149,1421
72151,1985
72153,1908
44001,5371
44003,17640
44005,7747
44007,76937
90044,4678
44009,12456
45001,2330
45003,12029
45005,660
45007,17427
45009,1140
45011,1718
45013,13782
45015,18077
45017,880
45019,38996
45021,3795
45023,3076
45025,3596
45027,3202
45029,2857
45031,5896
