FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed
48363,Palo Pinto County,TX,49.0,22476.0,24,2215
22001,Acadia Parish,LA,67.8,46040.0,41,6106
20149,Pottawatomie County,KS,51.8,17322.0,18,2543
49043,Summit County,UT,95.0,32042.0,8,6321
08023,Costilla County,CO,69.9,3146.0,5,390
47111,Macon County,TN,42.6,18577.0,31,2952
21139,Livingston County,KY,59.8,7334.0,12,1069
32031,Washoe County,NV,74.7,370989.0,239,48353
13179,Liberty County,GA,85.7,44034.0,18,5612
40037,Creek County,OK,54.1,54753.0,62,7034
46053,Gregory County,SD,62.8,3189.0,1,246
47039,Decatur County,TN,46.8,9251.0,22,1375
54059,Mingo County,WV,50.3,18179.0,27,3160
42069,Lackawanna County,PA,80.4,166709.0,209,19691
39081,Jefferson County,OH,59.3,52808.0,59,5171
50009,Essex County,VT,45.6,5109.0,0,486
21041,Carroll County,KY,58.0,7893.0,14,1324
36041,Hamilton County,NY,91.9,3813.0,1,356
08025,Crowley County,CO,23.6,5369.0,4,929
28033,DeSoto County,MS,66.9,138050.0,113,18692
39059,Guernsey County,OH,54.5,30310.0,46,3534
51125,Nelson County,VA,65.6,12267.0,12,1132
05127,Scott County,AR,59.9,7919.0,10,712
22089,St. Charles Parish,LA,68.3,40257.0,16,5611
24017,Charles County,MD,81.9,124396.0,92,13132
72049,Culebra Municipio,PR,95.0,1411.0,0,252
50017,Orange County,VT,58.7,23656.0,5,2560
47043,Dickson County,TN,59.5,41618.0,41,5598
17177,Stephenson County,IL,72.7,35034.0,44,4582
26015,Barry County,MI,58.8,48068.0,45,4592
39157,Tuscarawas County,OH,54.8,70996.0,79,5543
04027,Yuma County,AZ,81.9,160218.0,206,21124
38005,Benson County,ND,67.3,4430.0,1,603
13137,Habersham County,GA,49.1,35229.0,46,2636
41025,Harney County,OR,54.8,5907.0,7,472
06079,San Luis Obispo County,CA,67.2,233612.0,137,32652
26085,Lake County,MI,75.1,9901.0,8,672
12123,Taylor County,FL,48.5,17310.0,53,2617
19105,Jones County,IA,69.0,16328.0,7,1435
16073,Owyhee County,ID,44.1,8816.0,11,640
48041,Brazos County,TX,60.7,181925.0,51,24660
09007,Middlesex County,CT,91.8,134377.0,75,14868
46061,Hanson County,SD,58.3,2410.0,1,166
12103,Pinellas County,FL,73.2,819951.0,1768,94573
36083,Rensselaer County,NY,79.7,128075.0,62,15678
48195,Hansford County,TX,57.5,3796.0,2,602
01131,Wilcox County,AL,65.1,7954.0,10,1318
29227,Worth County,MO,50.7,1619.0,0,110
31119,Madison County,NE,58.1,26142.0,26,2762
48079,Cochran County,TX,69.1,2088.0,3,301
51175,Southampton County,VA,43.8,14356.0,22,1307
