FIPS,Deaths
29147,5
29149,6
29151,8
29153,9
29155,15
29157,4
29159,29
29161,39
29163,10
29165,27
29167,26
29169,14
29171,4
29173,7
29175,17
29177,28
29179,9
29181,9
29195,16
29197,4
29199,2
29201,25
29203,9
29205,2
29183,170
29185,5
29187,66
29189,560
29510,130
29186,5
29207,18
29209,20
29211,2
29213,45
29215,27
90029,0
29217,22
29219,27
29221,35
29223,16
29225,27
29227,0
29229,13
30001,6
30003,8
30005,3
30007,1
30009,5
30011,0
30013,38
30015,5
30017,5
30019,0
30021,4
30023,0
30025,0
30027,4
30029,46
30031,16
30033,0
30035,6
30037,0
30039,2
30041,0
30043,2
30045,0
30047,12
30049,19
30051,2
30053,13
30057,0
30055,1
30059,1
30061,3
30063,9
30065,0
30067,4
30069,0
30071,1
30073,0
30075,0
30077,2
30079,1
30081,13
30083,2
30085,2
30087,2
30089,6
30091,1
30093,12
30095,0
30097,3
30099,3
30101,2
30103,0
90030,0
30105,4
30107,1
30109,0
30111,71
31001,0
31003,0
31005,0
31007,0
31009,0
31011,0
31013,0
31015,0
31017,0
31019,0
31021,0
31023,0
31025,0
31027,0
31029,0
31031,0
31033,0
31035,0
31037,0
31039,0
31041,0
31043,0
31045,0
31047,0
31049,0
31051,0
31053,0
31055,0
31057,0
31059,0
31061,0
31063,0
31065,0
31067,0
31069,0
31071,0
31073,0
31075,0
31077,0
31079,0
31081,0
31083,0
31085,0
31087,0
31089,0
31091,0
31093,0
31095,0
31097,0
31099,0
31101,0
31103,0
31105,0
31107,0
31109,0
31111,0
31113,0
31115,0
31119,0
31117,0
31121,0
31123,0
31125,0
31127,0
31129,0
31131,0
31133,0
31135,0
31137,0
31139,0
31141,0
31143,0
31145,0
31147,0
31149,0
31151,0
31153,0
31155,0
31157,0
31159,0
31161,0
31163,0
31165,0
31167,0
31169,0
31171,0
31173,0
90031,806
31175,0
31177,0
31179,0
31181,0
31183,0
31185,0
32510,34
32001,18
32003,1328
32005,17
32007,13
32009,1
32011,1
32013,11
32015,5
32017,2
32019,33
32021,3
32023,39
32027,0
32029,3
90032,0
32031,163
32033,1
33001,27
33003,24
33005,38
33007,26
33009,17
33011,127
33013,56
33015,119
33017,39
33019,14
90033,4
34001,170
34003,347
34005,179
34007,260
34009,45
34011,76
34013,381
34015,167
34017,267
34019,69
34021,181
34023,299
34025,341
34027,179
34029,439
34031,255
34033,28
34035,61
34037,101
90034,0
34039,272
34041,62
35001,434
35003,2
35005,79
35006,22
35007,9
35009,50
35011,2
35013,133
35015,44
35017,19
35019,2
35021,0
35023,2
35025,36
35027,19
35028,4
35029,18
35031,48
35033,3
35035,36
35037,19
35039,36
35041,11
35045,88
35047,21
35043,96
35049,59
35051,6
35053,16
35055,16
35057,18
90035,0
35059,3
35061,68
36001,70
36003,17
36005,805
36007,45
36009,31
36011,25
36013,75
36015,36
36017,17
36019,28
36021,19
36023,24
36025,9
36027,119
36029,364
36031,9
36033,14
36035,35
36037,23
36039,27
36041,1
36043,29
36045,17
36047,1607
36049,8
36051,22
36053,8
36055,198
36057,26
36059,410
36061,702
36063,96
36065,79
36067,155
36069,31
36071,171
36073,10
36075,36
36077,17
80036,81
36079,15
36081,1262
36083,33
36085,301
36087,85
36091,58
36093,31
36095,6
36097,2
36099,9
36089,24
36101,31
36103,550
36105,26
36107,4
36109,13
36111,47
90036,0
36113,20
36115,22
36117,44
36119,292
36121,8
36123,3
37001,78
37003,14
37005,5
37007,11
37009,15
37011,3
37013,21
37015,13
37017,23
37019,56
37021,98
37023,63
37025,92
37027,68
37029,0
37031,2
37033,5
37035,106
37037,9
37039,28
37041,11
37043,1
37045,40
37047,32
37049,31
37051,51
37053,5
37055,8
37057,54
37059,11
37061,40
37063,29
37065,14
37067,175
37069,2
37071,141
37073,1
37075,2
37077,4
37079,5
37081,214
37083,36
37085,48
37087,38
37089,58
37091,8
37093,13
37095,1
37097,96
37099,7
37101,86
37103,0
37105,26
37107,24
37109,39
37113,26
37115,14
37117,14
37111,28
37119,244
37121,10
37123,16
37125,60
37127,52
37129,85
37131,16
37133,94
37135,12
37137,1
37139,1
37141,15
37143,2
37145,10
37147,22
37149,5
37151,59
37153,30
37155,67
37157,44
37159,78
37161,50
37163,26
37165,16
37167,37
37169,52
37171,75
37173,9
37175,18
37177,1
90037,-27
37179,91
37181,8
37183,126
37185,3
37187,11
37189,14
37191,54
37193,51
37195,61
37197,24
37199,15
38001,2
38003,7
38005,1
38007,0
38009,2
38011,0
38013,0
38015,22
38017,47
38019,0
38021,1
38023,1
38025,1
38027,0
38029,2
38031,4
38033,0
38035,21
38037,2
38039,0
38041,1
38043,0
38045,2
38047,1
38049,3
38051,0
38053,2
38055,2
38057,2
38059,11
38061,5
38063,2
38065,1
38067,1
38069,3
38071,13
38073,5
38075,0
38077,2
38079,7
38081,0
38083,1
38085,1
38087,0
38089,7
38091,0
38093,5
38095,1
38097,5
90038,-45
38099,0
38101,17
38103,1
38105,6
69,19
39001,23
39003,83
39005,37
39007,76
39009,35
39011,42
39013,46
39015,32
39017,195
39019,22
39021,34
39023,138
39025,120
39027,35
39029,73
39031,23
39033,39
39035,596
39037,40
39039,28
39041,59
39043,45
39045,82
39047,27
39049,461
39051,25
39053,31
39055,41
39057,90
39059,41
39061,325
39063,40
39065,31
39067,10
39069,13
39071,38
39073,16
39075,17
39077,36
39079,24
39081,55
39083,30
39085,128
39087,55
39089,72
39091,33
39093,158
39095,219
39097,23
39099,138
39101,35
39103,77
39105,15
39107,29
39109,93
39111,13
39113,408
39115,12
39117,23
39119,43
39121,7
39123,15
39125,7
39127,24
39129,49
39131,34
39133,67
39135,32
39137,20
39139,83
39141,44
39143,35
39145,47
39147,23
39149,27
39151,248
39153,241
39155,159
39157,68
90039,0
39159,19
39161,25
39163,9
39165,100
39167,39
39169,77
39171,25
39173,53
39175,17
40001,9
40003,4
40005,10
40007,1
40009,23
40011,9
40013,17
40015,24
40017,70
40019,31
40021,22
40023,10
40025,7
40027,155
40029,3
40031,55
40033,4
40035,16
40037,55
40039,31
40041,32
40043,5
40045,2
40047,65
40049,34
40051,42
40053,8
40055,8
40057,3
40059,2
40061,7
40063,13
40065,16
40067,7
40069,4
40071,45
40073,13
40075,6
40077,7
40079,14
40081,17
40083,32
40085,8
40093,7
40095,11
40097,28
40087,25
40089,23
40091,17
40099,14
40101,54
40103,4
40105,5
40107,11
40109,410
40111,31
40113,27
40115,18
80040,0
40117,15
40119,36
40121,37
40123,34
40125,63
40127,5
40129,4
40131,67
40133,25
40135,10
40137,42
40139,12
40141,8
40143,330
90040,642
40145,51
40147,46
40149,17
40151,8
40153,18
41001,10
41003,23
41005,153
41007,10
41009,31
41011,27
41013,17
41015,12
41017,51
41019,65
41021,1
41023,3
41025,3
41027,4
41029,121
41031,19
41033,56
41035,40
41037,5
41039,118
41041,23
41043,49
41045,14
41047,150
41049,8
41051,233
41053,16
41055,2
41057,11
41059,21
90041,0
41061,12
41063,3
41065,12
41067,111
41069,1
41071,54
42001,84
42003,561
42005,65
42007,128
42009,49
42011,269
42013,108
42015,46
42017,321
42019,113
42021,101
42023,7
42025,58
42027,57
42029,172
42031,32
42033,81
42035,19
42037,52
42039,54
42041,167
42043,199
42045,280
42047,23
42049,120
42051,125
42053,4
42055,137
42057,16
42059,24
42061,40
42063,54
42065,43
42067,28
42069,156
42071,321
42073,78
42075,111
42077,185
42079,269
42081,67
42083,24
42085,66
42087,38
42089,100
42091,307
42093,12
42095,200
42097,58
42099,29
42101,807
42103,22
42105,12
42107,118
42109,28
42111,71
42113,8
42115,21
42117,20
90042,0
42119,20
42121,36
42123,30
42125,136
42127,29
42129,241
42131,15
42133,289
72001,0
72003,0
72005,0
72007,0
72009,0
72011,0
72013,0
72015,0
72017,0
72019,0
72021,0
72023,0
72025,0
72027,0
72029,0
72031,0
72033,0
72035,0
72037,0
72039,0
72041,0
72043,0
72045,0
72047,0
72049,0
72051,0
72053,0
72054,0
72055,0
72057,0
72059,0
72061,0
72063,0
72065,0
72067,0
72069,0
72071,0
72073,0
72075,0
72077,0
72079,0
72081,0
72083,0
72085,0
72087,0
72089,0
72091,0
72093,0
72095,0
72097,0
72099,0
72101,0
72103,0
72105,0
72107,0
72888,0
72109,0
72111,0
72113,0
72115,0
72117,0
72119,0
72121,0
72123,0
72125,0
72127,0
72129,0
72131,0
72133,0
72135,0
72137,0
72139,0
72999,862
72141,0
72143,0
72145,0
72147,0
72149,0
72151,0
72153,0
44001,13
44003,89
44005,30
44007,318
90044,-26
44009,32
45001,16
45003,69
45005,3
45007,160
45009,11
45011,14
45013,49
45015,76
45017,7
45019,171
45021,49
45023,26
45025,30
45027,20
45029,27
45031,66
45033,23
45035,92
45037,9
45039,12
45041,69
45043,32
45045,406
45047,62
45049,10
45051,213
45053,11
45055,35
45057,31
45059,43
45061,11
45063,131
45067,18
45069,19
45065,9
45071,36
45073,76
45075,74
45077,104
45079,131
45081,13
45083,256
45085,77
90045,0
45087,35
45089,14
45091,109
46003,0
46005,9
46007,5
46009,7
46011,10
46013,14
46015,3
46017,2
46019,4
46021,1
46023,3
46025,3
46027,4
46029,8
46031,2
46033,4
46035,5
46037,5
46039,0
46041,7
46043,2
46045,2
46047,9
46049,0
46051,3
46053,1
46055,1
46057,1
46059,4
46061,1
46063,0
46065,5
46067,7
46069,3
46071,2
46073,1
46075,1
46077,1
46079,6
46081,6
46083,22
46085,0
46091,5
46087,1
46089,0
46093,6
46095,4
46097,1
46099,76
46101,3
46102,7
46103,56
46105,2
46107,2
46109,7
46111,3
46115,4
46117,4
46119,0
46121,13
46123,3
46125,0
90046,0
46127,5
46129,7
46135,14
46137,0
47001,60
47003,27
47005,11
47007,17
47009,98
47011,88
47013,34
47015,10
47017,30
47019,60
47021,28
47023,15
47025,32
47027,10
47029,40
47031,53
47033,9
47035,48
47037,265
47041,15
47039,18
47043,36
47045,34
47047,47
47049,38
47051,34
47053,43
47055,41
47057,17
47059,81
47061,7
47063,60
47065,225
47067,9
47069,20
47071,35
47073,70
47075,17
47077,37
47079,43
47081,16
47083,7
47085,12
47087,15
47089,44
47091,25
47093,286
47095,7
47097,24
47099,37
47101,10
47103,36
47105,45
47111,28
47113,62
47115,19
47117,19
47119,62
47107,56
47109,33
47121,10
47123,40
47125,96
47127,7
47129,25
47131,43
80047,53
47133,16
47135,14
47137,8
47139,22
47141,41
47143,26
47145,46
47147,63
47149,157
47151,26
47153,6
47155,74
47157,548
47159,19
47161,13
47163,166
47165,139
47167,52
47169,9
90047,63
47171,16
47173,11
47175,5
47177,24
47179,87
47181,16
47183,37
47185,13
47187,76
47189,72
48001,27
48003,6
48005,53
48007,15
48009,4
48011,1
48013,20
48015,16
48017,9
48019,11
48021,44
48023,8
48025,17
48027,137
48029,743
48031,6
48033,0
48035,11
48037,79
48039,110
48041,38
48043,5
48045,1
48047,4
48049,53
48051,5
48053,34
48055,17
48057,9
48059,13
48061,179
48063,6
48065,5
48067,34
48069,6
48071,10
48073,24
48075,8
48077,9
48079,3
48081,1
48083,12
48085,276
48087,5
48089,7
48091,65
48093,11
48095,1
48097,22
48099,41
48101,0
48103,5
48105,2
48107,4
48109,3
48111,9
48113,944
48115,12
48123,12
48117,11
48119,3
48121,256
48125,1
48127,4
48129,8
48131,8
48133,23
48135,128
48137,2
48141,574
48139,86
48143,14
48145,11
48147,29
48149,9
48151,5
48153,8
48155,1
48157,153
48159,5
48161,9
48163,15
48165,15
48167,115
48169,2
48171,24
48173,0
48175,4
48177,9
48179,29
48181,98
48183,90
48185,9
48187,50
48189,41
48191,8
48193,3
48195,2
48197,5
48199,34
48201,1129
48203,35
48205,1
48207,2
48209,83
48211,4
48213,67
48215,351
48217,17
48219,20
48221,57
48223,25
48225,18
48227,31
48229,4
48231,44
48233,27
48235,1
48237,6
48239,7
48241,20
48243,3
48245,92
48247,2
48249,22
48251,139
