FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
72055,Guanica Municipio,PR,79.1,12461.0,0
13039,Camden County,GA,69.3,41483.0,27
48063,Camp County,TX,52.0,9646.0,8
54091,Taylor County,WV,55.2,13397.0,22
21237,Wolfe County,KY,65.0,5505.0,15
56021,Laramie County,WY,68.0,76574.0,66
16015,Boise County,ID,39.2,6551.0,3
72025,Caguas Municipio,PR,88.6,102504.0,0
29137,Monroe County,MO,55.4,6780.0,11
16031,Cassia County,ID,57.8,16443.0,9
33011,Hillsborough County,NH,73.5,332922.0,175
31177,Washington County,NE,66.6,15723.0,20
13185,Lowndes County,GA,49.1,89086.0,72
04015,Mohave County,AZ,49.0,176822.0,317
46093,Meade County,SD,65.6,21993.0,9
55083,Oconto County,WI,62.8,30302.0,37
55089,Ozaukee County,WI,81.0,70271.0,61
37195,Wilson County,NC,65.7,63224.0,85
29161,Phelps County,MO,51.8,35235.0,47
18117,Orange County,IN,69.4,15178.0,22
29221,Washington County,MO,39.7,19131.0,41
13305,Wayne County,GA,53.7,22665.0,27
36009,Cattaraugus County,NY,65.8,59481.0,37
51620,Franklin city,VA,49.6,5897.0,9
31057,Dundy County,NE,46.0,1387.0,2
53015,Cowlitz County,WA,70.9,85425.0,85
72009,Aibonito Municipio,PR,95.0,18166.0,0
04019,Pima County,AZ,78.9,831972.0,747
35051,Sierra County,NM,75.8,9090.0,18
31003,Antelope County,NE,46.6,4812.0,7
26113,Missaukee County,MI,60.6,11658.0,17
48149,Fayette County,TX,60.1,20271.0,15
06085,Santa Clara County,CA,95.0,1511937.0,411
48345,Motley County,TX,36.8,963.0,4
26095,Luce County,MI,51.5,5226.0,11
22061,Lincoln Parish,LA,51.0,37430.0,27
12095,Orange County,FL,80.5,1087498.0,1578
19027,Carroll County,IA,76.7,15222.0,15
39137,Putnam County,OH,62.0,25257.0,24
18157,Tippecanoe County,IN,67.6,155406.0,109
48031,Blanco County,TX,68.0,9811.0,6
48091,Comal County,TX,75.5,121086.0,83
34029,Ocean County,NJ,68.9,460496.0,581
13233,Polk County,GA,49.4,31800.0,36
18095,Madison County,IN,63.7,101872.0,168
34009,Cape May County,NJ,84.8,76089.0,61
51077,Grayson County,VA,48.0,12990.0,21
31093,Howard County,NE,52.4,4890.0,5
17033,Crawford County,IL,60.9,14965.0,10
12109,St. Johns County,FL,80.8,207481.0,356
08077,Mesa County,CO,59.3,121401.0,124
22123,West Carroll Parish,LA,50.9,8412.0,15
45091,York County,SC,58.6,213463.0,148
02020,Anchorage Municipality,AK,79.2,218802.0,126
29159,Pettis County,MO,54.1,31898.0,42
16045,Gem County,ID,49.6,13979.0,8
08103,Rio Blanco County,CO,48.5,4785.0,2
38017,Cass County,ND,70.1,140954.0,47
38011,Bowman County,ND,49.4,2286.0,0
72109,Patillas Municipio,PR,86.0,13449.0,0
18149,Starke County,IN,46.8,17811.0,22
01069,Houston County,AL,53.5,81594.0,80
12043,Glades County,FL,37.8,11823.0,17
48153,Floyd County,TX,60.3,4203.0,8
17189,Washington County,IL,68.6,10950.0,6
19065,Fayette County,IA,64.8,15515.0,20
27089,Marshall County,MN,60.1,7196.0,1
45009,Bamberg County,SC,59.8,11424.0,11
47099,Lawrence County,TN,47.1,33151.0,51
55031,Douglas County,WI,52.7,34706.0,9
56011,Crook County,WY,40.0,5711.0,7
54067,Nicholas County,WV,62.7,19454.0,26
26119,Montmorency County,MI,62.3,7948.0,8
54029,Hancock County,WV,78.6,23350.0,19
29510,St. Louis city,MO,67.1,244269.0,158
16069,Nez Perce County,ID,68.2,31776.0,37
42007,Beaver County,PA,59.8,132398.0,160
72053,Fajardo Municipio,PR,85.1,24023.0,0
06037,Los Angeles County,CA,81.6,7894557.0,5037
39021,Champaign County,OH,55.8,30220.0,37
31173,Thurston County,NE,95.0,4639.0,10
27015,Brown County,MN,77.0,19556.0,15
31087,Hitchcock County,NE,43.3,2135.0,3
20075,Hamilton County,KS,55.4,1809.0,2
08089,Otero County,CO,60.9,13909.0,16
53073,Whatcom County,WA,80.9,185293.0,116
33017,Strafford County,NH,71.8,106852.0,56
39027,Clinton County,OH,60.0,32414.0,37
39057,Greene County,OH,72.3,134183.0,98
42099,Perry County,PA,59.9,36410.0,36
04007,Gila County,AZ,68.7,43364.0,79
45041,Florence County,SC,66.8,105779.0,93
12033,Escambia County,FL,66.8,252085.0,623
32033,White Pine County,NV,64.0,7638.0,4
29213,Taney County,MO,48.4,44243.0,58
13035,Butts County,GA,41.1,19833.0,39
28011,Bolivar County,MS,72.1,23145.0,30
42025,Carbon County,PA,70.5,51877.0,80
48303,Lubbock County,TX,59.9,237044.0,244
05123,St. Francis County,AR,61.8,19758.0,24
22085,Sabine Parish,LA,48.6,18376.0,16
21129,Lee County,KY,57.1,6034.0,14
47065,Hamilton County,TN,65.9,291847.0,293
72027,Camuy Municipio,PR,83.6,25217.0,0
54047,McDowell County,WV,63.7,14027.0,21
20207,Woodson County,KS,52.1,2465.0,7
13307,Webster County,GA,51.5,2124.0,1
36089,St. Lawrence County,NY,68.8,86105.0,39
02164,Lake and Peninsula Borough,AK,67.3,1136.0,0
20129,Morton County,KS,51.4,1964.0,1
45007,Anderson County,SC,49.2,156658.0,200
26035,Clare County,MI,55.4,24807.0,29
37169,Stokes County,NC,55.9,37145.0,65
47149,Rutherford County,TN,65.1,250782.0,192
31127,Nemaha County,NE,59.4,5414.0,4
48115,Dawson County,TX,44.5,9457.0,14
29131,Miller County,MO,41.9,19614.0,22
32005,Douglas County,NV,58.5,41087.0,19
35059,Union County,NM,52.5,3299.0,5
16013,Blaine County,ID,93.8,18163.0,2
48275,Knox County,TX,52.4,2709.0,3
46047,Fall River County,SD,73.3,5586.0,10
12005,Bay County,FL,64.1,138722.0,438
17101,Lawrence County,IL,48.9,12711.0,5
39051,Fulton County,OH,64.3,32285.0,26
06065,Riverside County,CA,70.9,1856392.0,1027
01077,Lauderdale County,AL,55.9,74683.0,84
13045,Carroll County,GA,46.9,91687.0,97
31105,Kimball County,NE,43.0,2865.0,0
19159,Ringgold County,IA,63.4,3777.0,4
40149,Washita County,OK,49.7,8243.0,22
05069,Jefferson County,AR,52.5,52303.0,46
22023,Cameron Parish,LA,22.6,5444.0,0
12089,Nassau County,FL,68.5,71160.0,172
51660,Harrisonburg city,VA,42.9,44217.0,50
13281,Towns County,GA,55.4,10505.0,30
47007,Bledsoe County,TN,41.8,12876.0,22
56031,Platte County,WY,49.8,6691.0,7
23009,Hancock County,ME,86.1,45634.0,29
13069,Coffee County,GA,46.7,32708.0,35
19091,Humboldt County,IA,61.6,7318.0,5
41067,Washington County,OR,85.4,466437.0,210
13267,Tattnall County,GA,39.5,20127.0,16
17081,Jefferson County,IL,57.6,29288.0,26
37179,Union County,NC,67.5,176616.0,114
02195,Petersburg Census Area,AK,85.4,2605.0,3
20095,Kingman County,KS,58.2,5564.0,4
48033,Borden County,TX,42.2,524.0,0
29217,Vernon County,MO,43.9,15714.0,24
38083,Sheridan County,ND,44.0,1080.0,1
30015,Chouteau County,MT,39.4,4369.0,6
48431,Sterling County,TX,52.4,923.0,2
05005,Baxter County,AR,55.1,34462.0,58
41053,Polk County,OR,73.7,66856.0,30
54093,Tucker County,WV,68.0,5831.0,6
23003,Aroostook County,ME,78.3,54809.0,76
19015,Boone County,IA,73.8,20698.0,15
42039,Crawford County,PA,59.2,67333.0,72
22091,St. Helena Parish,LA,36.2,8037.0,6
01057,Fayette County,AL,42.7,12869.0,11
17157,Randolph County,IL,61.7,25719.0,24
51065,Fluvanna County,VA,70.9,21864.0,15
29153,Ozark County,MO,38.7,7416.0,16
16061,Lewis County,ID,64.2,3007.0,7
47003,Bedford County,TN,54.3,37108.0,37
42095,Northampton County,PA,78.3,245070.0,252
51081,Greensville County,VA,43.1,9475.0,11
